method,methodLabel,brand,category,publicAlgo,decadeAmbiguous,era,pattern,rule,example,confidence,abstainWhen,sources
1,Year-first numeric (YYMM/YYWW),Raypak,Boilers / pool heaters,Yes,No,pre-1995,MMYY…,field order reversed (month then year),0192… → Jan 1992,low,,
1,Year-first numeric (YYMM/YYWW),Trane,HVAC,Yes,Yes,2010–present,YYWW…,"digits 1-2 = year, 3-4 = week",1204… → wk4 2012,high,serial matches none of the residential/light-commercial era templates (e.g. commercial applied units),https://www.building-center.org/trane-hvac-age/ | https://www.partstown.com/cm/resource-center/guides/gd2/trane-serial-number-lookup
1,Year-first numeric (YYMM/YYWW),Trane,HVAC,Yes,Yes,2002–2009,N WW… (single-digit year),"digit 1 = last digit of year (era-bounded 2002-2009), 2-3 = week",752… → wk52 2007,high,,
1,Year-first numeric (YYMM/YYWW),Trane,HVAC,Yes,Yes,1983–2001,[YearLetter]WW…,"letter = year (W=1983…S=2001), next 2 digits = week",K23… → wk23 1995,high,,
1,Year-first numeric (YYMM/YYWW),Trane,HVAC,Yes,Yes,pre-1983 / commercial applied,varies,no reliable template,0A250312-1-1 (DOAS) → abstain,low,,
1,Year-first numeric (YYMM/YYWW),Daikin,HVAC,Yes,Yes,Daikin-badged residential,xxxxYYMM…,"ignore first 4 chars; chars 5-6 = year, 7-8 = month",….1209… → Sep 2012,medium,McQuay applied lines (position varies) or non-matching shape → lookup,https://inspectorhandbook.com/hvac/daikin | https://www.building-center.org/daikin-hvac-age/
6,Lookup required (no public algorithm),McQuay (Daikin Applied),HVAC (applied/commercial),No,Yes,legacy applied,multiple position rules,no single universal rule; identify product line or consult Daikin Applied,—,low,always (product-line-specific) — verify via nameplate / Daikin Applied,https://www.building-center.org/mcquay-hvac-age/
1,Year-first numeric (YYMM/YYWW),Lennox,HVAC,Yes,Yes,classic 1974–present,PPYY[MonthLetter]nnnnn,"digits 1-2 = plant, 3-4 = year, 5th char = month letter (A=Jan…M=Dec, no I)",5621M99989 → Dec 2021,medium,serial not in classic PPYY[letter] shape,https://www.building-center.org/lennox-hvac-age/ | https://www.pickhvac.com/hvac/age-serial-number/lennox/
1,Year-first numeric (YYMM/YYWW),Manitowoc Ice,Ice machines,Yes,Yes,pre-2006,YYMMnnnnn,"digits 1-2 = year, 3-4 = month",050164303 → Jan 2005,high,"first-4-digit block gives month >12, or a post-2006 sequential serial with no MFG DT captured",https://www.easyice.com/how-to-read-a-manitowoc-serial-number | https://www.icemachineclearance.com/blog/manitowoc-ice-machine-serial-numbers/
1,Year-first numeric (YYMM/YYWW),Manitowoc Ice,Ice machines,Yes,Yes,2006+,"sequential serial + separate ""MFG DT"" YYMM plate stamp",serial not date-bearing; read the MFG DT field,MFG DT 0608 → Aug 2006,high,,
1,Year-first numeric (YYMM/YYWW),Scotsman,Ice machines,Yes,Yes,after May 2004,YYMMxxxx…,"digits 1-2 = year, 3-4 = month; digits 5-8 = site ID",0711… → Nov 2007,high,pre-2004 year letter cannot be pinned to a decade; trailing block matches neither pattern,https://www.partstown.com/cm/resource-center/guides/gd2/how-to-read-a-scotsman-serial-number
1,Year-first numeric (YYMM/YYWW),Scotsman,Ice machines,Yes,Yes,through May 2004,…MM[YearLetter],"last 3 chars: 2-digit OFFSET month (07=Jan…12=Jun,01=Jul…06=Dec) + cycling year letter",…09D → Mar 2002,medium,,
1,Year-first numeric (YYMM/YYWW),Grundfos,Pumps,Yes,Yes,modern nameplate,"PC = YYWW (production code, often circled)","digits 1-2 = year, 3-4 = ISO week",PC 0833 → wk33 2008,high,"century unclear (2-digit year), or no PC code present",https://www.grundfos.com/us/support/how-to-guides/finding-a-product-number-on-a-pump-nameplate
1,Year-first numeric (YYMM/YYWW),Armstrong Fluid Technology,Pumps,Yes,Yes,circulators,YYMM (4-digit date/serial code),"digits 1-2 = year, 3-4 = month",0106 → Jun 2001,medium,large engineered/special-material pumps use a plain serial (no date) → lookup,https://www.nationalpumpsupply.com/content/pdf/armstrong-pump-circulator-pump-parts-list.pdf
1,Year-first numeric (YYMM/YYWW),Wilo,Pumps,Yes,Yes,nameplate date code,YYWW,"digits 1-2 = year, 3-4 = week",2423 → wk23 2024,medium,date field layout not obvious on longer serials,https://cms.media.wilo.com/cdndoc/wilo666890/8475454/wilo666890.pdf
1,Year-first numeric (YYMM/YYWW),Baldor (ABB),Electric motors,Yes,Yes,modern NEMA serial,[Plant]YYMMDD…,"skip plant letter; next 2 = year, 2 = month, 2 = day",C1701181132 → 2017-01-18,medium,"serial not in plant+YYMMDD shape, or only a legacy grid code present",https://www.pooleyinc.com/wp-content/uploads/Baldor-Dodge-Mfr-Date-Code-Chart.pdf
1,Year-first numeric (YYMM/YYWW),Baldor (ABB),Electric motors,Yes,Yes,legacy Dodge grid code,2-char grid code,reverse-map via Baldor-Dodge date-code chart (not computable),—,low,,
2,Week/Month-first numeric (WWYY/MMYY),Carrier,HVAC,Yes,Yes,~1980–present,WWYY[Plant]nnnnn,"digits 1-2 = WEEK, 3-4 = year (week-then-year — reverse of Trane)",0180A… → wk1 1980,high,not modern WWYY and not the 1969-1979 letter form,https://www.building-center.org/carrier-hvac-age/ | https://inspectorhandbook.com/hvac/carrier
2,Week/Month-first numeric (WWYY/MMYY),Carrier,HVAC,Yes,Yes,1969–1979,[MonthLetter]N…,"letter A-L = month, next digit = last digit of year (1970s)",C4… → Mar 1974,medium,,
2,Week/Month-first numeric (WWYY/MMYY),Rheem / Ruud (HVAC),HVAC,Yes,Yes,modern,[AAAA]WWYYnnnnn,"after 4-letter prefix: digits 1-2 = week, 3-4 = year",RHLN0820… → wk8 2020,high,digits after prefix are not a valid WWYY,https://www.pickhvac.com/hvac/age-serial-number/rheem/ | https://www.rheem.com/rheem_model_serial_numbers/
2,Week/Month-first numeric (WWYY/MMYY),Rheem / Ruud (Water heaters),Water heaters,Yes,No,standard modern,[prefix]MMYYnnnn,first 4 digits = month then year (MMYY),RH0806… → Aug 2006,high,first 4 digits are not a valid MMYY (month >12),https://www.rheem.com/how-to-locate-and-read-your-rheem-water-heating-serial-numbers/ | https://inspectapedia.com/plumbing/Rheem-Water-Heater-Age-Decoder.php
2,Week/Month-first numeric (WWYY/MMYY),Marley / SPX Cooling,Cooling towers,Yes,Yes,heuristic (third-party),…YY,last 2 digits of serial ≈ year of manufacture OR reconstruction,…13 → 2013,medium,"trailing digits ambiguous, or unit may have been reconstructed (code can be rebuild year)",https://www.building-center.org/marley-hvac-age/
3,Alphabetic date code,Bradford White,Water heaters,Yes,Yes,1984–present,[YearLetter][MonthLetter]…,"letter 1 = year on 20-yr cycle (A B C D E F G H J K L M N P S T W X Y Z from 1984, skip I O Q R U V); letter 2 = month (A=Jan…M=Dec, no I); resolve to most recent plausible year",SE… → May 2018; ZK… → Oct 2023,high,serial doesn’t start with 2 letters or 2nd letter outside A-M,https://www.bradfordwhite.com/bw-faq/how-to-read-the-serial-number-date-code-reference-chart/ | https://www.building-center.org/bradford-white-water-heater-age/
3,Alphabetic date code,Niles Steel Tank,Storage tanks / water heaters,Yes,Yes,modern,[YearLetter][MonthLetter]…,Bradford White subsidiary — same letter code exactly,SL… → Nov 2018,medium,as Bradford White,https://www.building-center.org/bradford-white-water-heater-age/
3,Alphabetic date code,Lochinvar,Boilers / water heaters,Yes,Yes,letter rolling code,[YearLetter][MonthLetter]…,"20-yr letter cycle (A=1964/1984/2004/2024), same skipped letters as BW; resolve most recent plausible",A… → 2004/2024,medium,"series/format cannot be identified, or leading chars ambiguous between letter/numeric",https://www.building-center.org/lochinvar-hvac-age/ | https://www.lochinvar.com/lit/WARR%20(100161789)%20Rev%2018.pdf
3,Alphabetic date code,Lochinvar,Boilers / water heaters,Yes,Yes,numeric (some boiler series),YYWW / YYMM (series-dependent),positions vary by product line — identify series first,1842… → wk42 2018 (verify),low,,
3,Alphabetic date code,Hoshizaki,Ice machines,Yes,Yes,modern,[YearLetter]NNNNN[MonthLetter],trailing letter = month (A=Jan…L=Dec) is RELIABLE; leading year-letter mapping is CONTRADICTORY across sources → abstain on year,…B → February (year unresolved),medium,year (leading letter) is genuinely ambiguous — verify via Hoshizaki warranty lookup,https://www.easyice.com/how-to-read-a-hoshizaki-serial-number/
3,Alphabetic date code,York,HVAC,Yes,Yes,Oct 2004–present,[Plant]N[MonthLetter]N…,"chars 2 & 4 = year digits, char 3 = month letter",W1G7… → Jul 2017,medium,pre-2004 cycling year letter cannot be pinned without plate/refrigerant evidence,https://www.pickhvac.com/hvac/age-serial-number/york/ | http://www.usair-eng.com/Serialnumber.pdf
3,Alphabetic date code,York,HVAC,Yes,Yes,1971–2004,[Plant][Month][Year]…letters,year letter cycles ~every 21 yrs → period-ambiguous,W F F… → Jun 1976 or 1997,low,,
3,Alphabetic date code,Bell & Gossett (Xylem),Pumps,Yes,Yes,1983+,[MonthLetter] + 2 reversed year digits,"letter = month (A=Jan…L=Dec); the two year digits are REVERSED (2023 → ""32"")",F32 → Jun 2023,medium,"cannot tell pre/post-1983 form, or year-letter chart unavailable",https://www.canadianpumpshop.com/blog/bell-and-gossett-pump-date-codes-decoded-a-guide-to-reading-and-understanding/
3,Alphabetic date code,Bell & Gossett (Xylem),Pumps,Yes,Yes,pre-1983,digit(month)+letter(year),needs model-specific date-code chart,—,low,,
3,Alphabetic date code,Marathon Motors (Regal),Electric motors,Yes,Yes,model-number date code,chars 1 & 3 of model = year/month via Form 4638E chart,"chart-dependent, letters recur across decades",JFD182T… → Apr 2010,low,always without the Date Code Chart (Form 4638E) → lookup,https://www.regalrexnord.com/brands/marathon-motors/how-to-identify-age-of-marathon-motor
4,Partial/single-digit year — decade-ambiguous,Mitsubishi Electric,HVAC (mini-split/VRF),Yes,Yes,"legacy (serial ends in ""T"")",[Y][M]…T,"char 1 = LAST DIGIT of (fiscal) year — DECADE NOT ENCODED; char 2 = month (1-9, X/Y/Z=Oct/Nov/Dec). Must corroborate decade with ANSI plate date / refrigerant (R22=old, R410A~2004+, R32~2018+)",6X…T → Oct 2006 OR 2016 (abstain on year),low,"""T"" serial with no ANSI date/refrigerant/model signal to fix the decade",https://www.building-center.org/mitsubishi-hvac-age/ | https://www.stewartchi.com/mitsubishi.html
4,Partial/single-digit year — decade-ambiguous,Mitsubishi Electric,HVAC (mini-split/VRF),Yes,Yes,modern,YY…,leading 2 digits ≈ year (verify vs ANSI plate),21… → 2021,low,,
4,Partial/single-digit year — decade-ambiguous,Cummins / Onan,Generators,Yes,Yes,classic build-date prefix,[MonthLetter]YY…,"letter = month (A=Jan…, includes I so J=Oct), next 2 digits = year; serial ranges reused ~every 10 yrs → decade-ambiguous",J980815794 → Oct 1998,medium,"no clean [letter][YY] prefix, or decade unresolved → model-specific Cummins build sheet",https://www.cummins.com/generators/how-to-identify-your-generator-model
4,Partial/single-digit year — decade-ambiguous,ASCO,Transfer switches,Yes,Yes,leading date digits (single source),Y MM…,"digit 1 = year (single digit → decade ambiguous), digits 2-3 = month; NOT corroborated to official docs","512… → month 12, year ?…5",low,always on decade (single-digit year); verify via ASCO Power Services,https://www.businesswire.com/news/home/20211007005806/en/
6,Lookup required (no public algorithm),Bryan Boilers,Boilers,No,No,all,n/a,"sequential serial; NOT ""Bryant"" HVAC — build year via ASME/National Board plate",—,low,always — capture the printed manufacture/inspection date instead,https://bryanboilers.com/ | https://www.building-center.org/bryan-hvac-age/
6,Lookup required (no public algorithm),Fulton,Boilers,No,No,all,n/a,ASME pressure vessel — age via National Board registration / rating plate,—,low,always — capture the printed manufacture/inspection date instead,https://www.fulton.com/documents/
6,Lookup required (no public algorithm),Patterson-Kelley,Boilers / water heaters,No,No,all,n/a,no public decode — rating-plate date or National Board number,—,low,always — capture the printed manufacture/inspection date instead,https://www.pattersonkelley.com/resources/product-document-archive/
6,Lookup required (no public algorithm),BAC (Baltimore Aircoil),Cooling towers,No,No,all,n/a,no published algorithm — nameplate date or myBAC / factory lookup,—,low,always — capture the printed manufacture/inspection date instead,https://baltimoreaircoil.com/resources
6,Lookup required (no public algorithm),Evapco,Cooling towers,No,No,all,n/a,no manufacturer algorithm — nameplate date or Evapco factory lookup,—,low,always — capture the printed manufacture/inspection date instead,https://www.evapco.com/replacement-parts
6,Lookup required (no public algorithm),Taco,Pumps,No,No,all,n/a,"model/serial encodes construction, not date — read motor date stamp or nameplate",—,low,always — capture the printed manufacture/inspection date instead,https://www.tacocomfort.com/wp-content/uploads/2019/08/Serial-Number-Location.pdf
6,Lookup required (no public algorithm),Aurora / PACO (Pentair),Pumps,No,No,all,n/a,no public algorithm for industrial pumps (pool-product Julian scheme does NOT apply),—,low,always — capture the printed manufacture/inspection date instead,https://www.pentair.com/content/dam/extranet/enterprise/app-support/SerialNumber-Pumps.pdf
6,Lookup required (no public algorithm),Kohler (generators),Generators,No,No,all,n/a,genset serial not consumer-decodable — Model+Spec+Serial to Kohler (engine scheme ≠ genset),—,low,always — capture the printed manufacture/inspection date instead,https://assist.kohler.com/
6,Lookup required (no public algorithm),Generac,Generators,No,No,all,n/a,"sequential serial — read data-tag production date or Generac lookup (ignore ""first 2 digits=year"" folk rule)",—,low,always — capture the printed manufacture/inspection date instead,https://support.generac.com/s/article/How-can-I-find-out-the-year-my-generator-was-made
6,Lookup required (no public algorithm),Caterpillar,Generators,No,No,all,n/a,no year digit in serial — build year via Cat SIS / dealer using full PIN,—,low,always — capture the printed manufacture/inspection date instead,https://parts.cat.com/en/catcorp/cat-serial-number-identification
6,Lookup required (no public algorithm),Zenith,Transfer switches,No,No,all,n/a,"order-specific serial, no public date decode — nameplate or ABB/GE lookup",—,low,always — capture the printed manufacture/inspection date instead,https://library.e.abb.com/
6,Lookup required (no public algorithm),Pellerin Milnor,Commercial laundry,No,No,all,n/a,"internal date code, not publicly decodable — nameplate date or Milnor parts",—,low,always — capture the printed manufacture/inspection date instead,https://www.milnor.com/technical-knowledge-base/
6,Lookup required (no public algorithm),Chicago Dryer,Commercial laundry,No,No,all,n/a,no public decode — nameplate date or factory records,—,low,always — capture the printed manufacture/inspection date instead,https://www.appliancefactoryparts.com/blog/2010/02/how-to-find-the-age-of-your-appliance/
6,Lookup required (no public algorithm),Cissell,Commercial laundry,No,No,all,n/a,legacy = lookup; current Alliance-built MAY use YYMM (verify month 01-12),—,low,always — capture the printed manufacture/inspection date instead,https://homespy.io/alliance-laundry-serial-lookup
6,Lookup required (no public algorithm),American Dryer (ADC),Commercial laundry,No,No,all,n/a,rating-plate date; newer Alliance-built MAY use YYMM (unverified),—,low,always — capture the printed manufacture/inspection date instead,https://www.adclaundry.com/
6,Lookup required (no public algorithm),G.A. Braun,Commercial laundry,No,No,all,n/a,factory-records lookup by serial — nameplate date,—,low,always — capture the printed manufacture/inspection date instead,https://braunlaundryparts.com/
6,Lookup required (no public algorithm),Forenta,Commercial laundry,No,No,all,n/a,no public decode — nameplate date or Forenta records,—,low,always — capture the printed manufacture/inspection date instead,https://www.forentausa.com/
6,Lookup required (no public algorithm),Energenics,Commercial laundry (lint/air),No,No,all,n/a,no public decode — nameplate date or Energenics,—,low,always — capture the printed manufacture/inspection date instead,https://energenics.com/
6,Lookup required (no public algorithm),Canariis,Pumps,No,No,all,n/a,no public algorithm — nameplate date or factory lookup,—,low,always — capture the printed manufacture/inspection date instead,https://www.building-center.org/
6,Lookup required (no public algorithm),Otis,Elevators,No,No,all,n/a,"serial = product/plant code, no date — inspection certificate / build-year plate / controller nameplate",—,low,always — capture the printed manufacture/inspection date instead,https://elevation.fandom.com/wiki/Elevator_serial_number_and_install_year_guide
6,Lookup required (no public algorithm),KONE / Montgomery,Elevators,No,No,all,n/a,"sequential serial, no date — inspection certificate; ""Montgomery KONE"" badge ≈ 1993-2000",—,low,always — capture the printed manufacture/inspection date instead,https://elevation.fandom.com/wiki/Elevator_serial_number_and_install_year_guide
6,Lookup required (no public algorithm),ThyssenKrupp / TK Elevator,Elevators,No,No,all,n/a,serial not date-bearing — inspection certificate / data plate,—,low,always — capture the printed manufacture/inspection date instead,https://elevation.fandom.com/wiki/How_to_find_out_how_old_an_elevator_is
6,Lookup required (no public algorithm),Schindler,Elevators,No,No,all,n/a,"sequential serial, no date — inspection certificate / build-year plate",—,low,always — capture the printed manufacture/inspection date instead,https://www.schindler.com/en/tools-resources/frequently-asked-questions.html
6,Lookup required (no public algorithm),Potter,Fire alarm,No,No,all,n/a,no public decode — panel programmed date / installed tag / AHJ records,—,low,always — capture the printed manufacture/inspection date instead,https://www.pottersignal.com/
6,Lookup required (no public algorithm),Simplex (JCI),Fire alarm,No,No,all,n/a,contested letter+YY+WW code (forum-sourced) — prefer panel date / service tag / ITM records,—,low,always — capture the printed manufacture/inspection date instead,https://forums.thefirepanel.com/t/simplex-date-code-interpretation/4083
6,Lookup required (no public algorithm),Notifier (Honeywell),Fire alarm,No,No,all,n/a,"YYWW date code dates the BOARD/device, not the panel — prefer panel programmed date / service tag",—,low,always — capture the printed manufacture/inspection date instead,https://www.firetradesupplies.com/blogs/fire-trade-supplies-blog/how-to-date-fire-alarm-detectors
6,Lookup required (no public algorithm),Silent Knight (Honeywell),Fire alarm,No,No,all,n/a,"internal board date code, not public — panel date / service tag / Honeywell lookup",—,low,always — capture the printed manufacture/inspection date instead,https://buildings.honeywell.com/us/en/brands/our-brands/silent-knight
