Brand,Category,Method (our assumption),Our decode rule,Worked example,Confidence,Who to call / reference,Vendor confirms? (Y/N),Vendor's actual method (if different),Verified by,Date verified
Chicago Dryer,Commercial laundry,M6 — Lookup required (no public algorithm),no public decode — nameplate date or factory records,—,low,https://www.appliancefactoryparts.com/blog/2010/02/how-to-find-the-age-of-your-appliance/,,,,
Cissell,Commercial laundry,M6 — Lookup required (no public algorithm),legacy = lookup; current Alliance-built MAY use YYMM (verify month 01-12),—,low,https://homespy.io/alliance-laundry-serial-lookup,,,,
American Dryer (ADC),Commercial laundry,M6 — Lookup required (no public algorithm),rating-plate date; newer Alliance-built MAY use YYMM (unverified),—,low,ADC tech support 508-678-9000 / techsupport@amdry.com,,,,
G.A. Braun,Commercial laundry,M6 — Lookup required (no public algorithm),factory-records lookup by serial — nameplate date,—,low,Braun parts 800-432-7286,,,,
Forenta,Commercial laundry,M6 — Lookup required (no public algorithm),no public decode — nameplate date or Forenta records,—,low,Forenta 423-586-5370 / forenta@forentausa.com,,,,
Energenics,Commercial laundry (lint/air),M6 — Lookup required (no public algorithm),no public decode — nameplate date or Energenics,—,low,Energenics 800-944-1711,,,,
Canariis,Pumps,M6 — Lookup required (no public algorithm),no public algorithm — nameplate date or factory lookup,—,low,https://www.building-center.org/,,,,
Otis,Elevators,M6 — Lookup required (no public algorithm),"serial = product/plant code, no date — inspection certificate / build-year plate / controller nameplate",—,low,Otis service records (100+ yr) by contract/serial; or inspection cert,,,,
KONE / Montgomery,Elevators,M6 — Lookup required (no public algorithm),"sequential serial, no date — inspection certificate; ""Montgomery KONE"" badge ≈ 1993-2000",—,low,KONE service records by equipment ID; or inspection cert,,,,
ThyssenKrupp / TK Elevator,Elevators,M6 — Lookup required (no public algorithm),serial not date-bearing — inspection certificate / data plate,—,low,TK Elevator service records; or inspection cert,,,,
Schindler,Elevators,M6 — Lookup required (no public algorithm),"sequential serial, no date — inspection certificate / build-year plate",—,low,Schindler service records; or inspection cert,,,,
Potter,Fire alarm,M6 — Lookup required (no public algorithm),no public decode — panel programmed date / installed tag / AHJ records,—,low,Potter 800-325-3936 / sales@pottersignal.com,,,,
Simplex (JCI),Fire alarm,M6 — Lookup required (no public algorithm),contested letter+YY+WW code (forum-sourced) — prefer panel date / service tag / ITM records,—,low,Johnson Controls / SimplexGrinnell service,,,,
Notifier (Honeywell),Fire alarm,M6 — Lookup required (no public algorithm),"YYWW date code dates the BOARD/device, not the panel — prefer panel programmed date / service tag",—,low,Honeywell / Notifier tech support,,,,
Silent Knight (Honeywell),Fire alarm,M6 — Lookup required (no public algorithm),"internal board date code, not public — panel date / service tag / Honeywell lookup",—,low,Honeywell / Silent Knight tech support,,,,
